tweet_id|user_id|created_at|hashtags|like_count|quote_count|reply_count|retweet_count|tweet_text
1622605275306885129|1618917598774558723|2023-02-0614:36:58.000000+0000|['FLOV','ValentineFloki','Valentine','Floki','BSC','crypto','BNB','ElonMusk','Floki','100xgem','100x']|0|0|0|0|@bitcoincryptonlValentineiscoming!!!♥️\nPrepareyourselvesforanexplosiveweek🚀🚀\n\nJoinourcommunity:\nhttps://t.co/yjQftSXVOz\n\n#FLOV#ValentineFloki#Valentine#Floki#BSC#crypto#BNB#ElonMusk#Floki#100xgem#100x
1622607003976704001|1622173614064959488|2023-02-0614:43:50.000000+0000|['PancakeSwap','FLOKIM','FLOKIMOONI','DOGE','SHIB']|0|0|0|0|@Hori_70@FlokiMooniisabouttotakeoff🔥\n\n✅Dapp&amp;NFTP2E\n❇️LPlockedwithproof\n❇️DOGErewardsforholders\n\n🚫NoPresale/Private/Whitelist\n🚫NoTeamwallets\n🔥50%Burn\n💧50%to#PancakeSwap\n\n#FLOKIM#FLOKIMOONI#DOGE#SHIB
1622605636855816192|1614622513257922560|2023-02-0614:38:25.000000+0000|['LUNC']|0|0|0|0|@nmeesen#LUNCisadiamondintherough\n🚀🚀🚀
1622607015074988032|1374675515739533319|2023-02-0614:43:53.000000+0000|['Varisu','LEO']|0|0|0|0|Day26,GrossAmmowww🥵🔥🔥\n\n#Varisu#LEO@actorvijayhttps://t.co/ytxMj2ic4K
1622605367128756224|1615911746467946499|2023-02-0614:37:20.000000+0000|['DOGE']|0|0|0|0|@Crypto__emilyIknowbetter#DOGE
1622606964759883776|1487762886961160192|2023-02-0614:43:41.000000+0000|['NFT','rugpullcommunity']|0|0|0|0|@TheNinjaLounge@xtweetxheartx@JBeeNinjaLounge@MiNDToken1@Erionz_@Tegcoin@RaiderTokenNoDragonballsneededhere!https://t.co/vWRSlevsac555CoolNFT'sRisenfromtheashes!#NFT#rugpullcommunity
1622605417288282112|1499299850130800642|2023-02-0614:37:32.000000+0000|['Sugaryield']|0|0|0|0|@asenkkk7607👀HaveyoueverhedgeyourBNBagainststablecoins?\n❌Noright?\n👏Hereistheprotocolcalled#Sugaryield,youcanearnupto2xonyourbnb!\n💰5160%APRonSugarFarms!\n👏Presalein1day,lastchancetobuyorregretlater!\n💥10xontheirlaunch\n👉Join:https://t.co/MEDZujFf3shttps://t.co/X2BvSFwAUN
1622605327316226048|1507702590196355072|2023-02-0614:37:11.000000+0000|['BTC']|0|0|0|0|@CryptoHuntinDad#BTCI'mMiraI'mnewhere,currentlyI'mdevelopingmyuniverseaswellasmyresearchtooltosecurethecryptospheredon'thesitatetofollowmetobeoneofthefirsttotakeadvantageofmyservicesonceavailable!welcometotheMiraverse!\nhttps://t.co/D4HwqICTaahttps://t.co/4Ktw8h0V1l
1622606943356329987|115474388|2023-02-0614:43:36.000000+0000|['dogrmy','Dogecoin']|0|0|0|0|@bnbbombs@CoinTigerEX@DogrmyTokenLookatthewebsiteandgotodashboardyoucanseeandclaimyourrewards.\nShareyourrewardsandwin!\n#dogrmy#Dogecoinhttps://t.co/jSqZ0Ceqe3
1622605550088511489|1437042789087268864|2023-02-0614:38:04.000000+0000|['Airdrop','FCFS','USDT','GemGverse','Giveaway','Token','ReferAndEarn']|0|0|0|0|🎁NewMassive2000$Giveaway@GemGverse🎉\n\n✅Follow@GemGverse\n✅❤,RT&amp;Tag3Friend\n✅CompleteGleamTask--https://t.co/Z2478MYnn5\n\n#Airdrop#FCFS#USDT#GemGverse#Giveaway#Token#ReferAndEarn
1622605480215601156|1492386394484150272|2023-02-0614:37:47.000000+0000|['NFT','NFTs','NFTartwork','NFTarts','OpenSeaNFT','ETH','Art','Web3','Web3Names']|0|0|0|0|@AshleyDCan🙏🏽VisitMyProfile\n✉️Share,Retweet,Support\n🔥Makemy#NFTartsold\n💎NewProjectWillriseup🚀\n🔥Grabitnow.\n💎MakeAnyOffer.\n👀Accordingtoyourrating.\n\n#NFTs#NFTartwork#NFTarts#OpenSeaNFT#ETH#Art#Web3#Web3Names\n\nhttps://t.co/cEZBfTy2ka
1622607003234484226|1487019281636212737|2023-02-0614:43:50.000000+0000|['buidl','web3','eth','development']|0|0|0|0|GettingsomeGoerliETHat@quicknode'sfaucetformyb94318a7wallet!\n#buidl#web3#eth#development\nhttps://t.co/NMZg8PyWEx
1622605340964446218|1504272442243616772|2023-02-0614:37:14.000000+0000|['Leo','Janany','JananyArmy']|0|0|0|0|@JananyKunaseel1lookssogoodinyellow😍💛#Leo#Janany#JananyArmyhttps://t.co/K9zN1zCKgQhttps://t.co/BeMTUxDnP3
1622605521990852608|1568195039230324737|2023-02-0614:37:57.000000+0000|['Turkey']|0|0|0|0|@LunaClassicHQPleasehelp🙏#Turkeyhttps://t.co/Tk4cO35PID
1622606997123391489|1618861629638066176|2023-02-0614:43:49.000000+0000|['NFTCommunity','NFTs','NFTGiveaways','nftsales','NFTartist','nftcollectors','NFT','Ethereum','ETH','openseaartists']|0|0|0|0|BillsThinksabouttoinvestmentpartnershipwithelon\n\nNFTARTONETHBLOCKCHAIN\n7DAYAUCTION@opensea\n\n@elonmusk@BillGates@gatesfoundation@melindagates@OPENSEA\n\n#NFTCommunity#NFTs#NFTGiveaways#nftsales#NFTartist#nftcollectors#NFT#Ethereum#ETH#openseaartists
1622606983101554688|1620890527771107328|2023-02-0614:43:46.000000+0000|['FLOV','ValentineFloki','Valentine','Floki','BSC','crypto','BNB','ElonMusk','Floki','100xgem','100x']|0|0|0|0|@BezosCryptoValentineiscoming!!!♥️\nPrepareyourselvesforanexplosiveweek🚀🚀\n\nJoinourcommunity:\nhttps://t.co/faYsjvbXtb\n\n#FLOV#ValentineFloki#Valentine#Floki#BSC#crypto#BNB#ElonMusk#Floki#100xgem#100x
1622605424443760642|1488358539886223360|2023-02-0614:37:34.000000+0000|['ETCBILLBOARD','ETCNFT','ETC','NFT','NFTCommunity']|0|0|0|0|ETCBillboard#1904\n1mintedfor0.3$ETC($6.83USD)\nGas:0.000169206ETC($0.00385USD)\n1205of10000minted\nTotalHolders:36addresses\nhttps://t.co/TQqljS6ST4\n\n#ETCBILLBOARD\n#ETCNFT#ETC#NFT#NFTCommunityhttps://t.co/dbwgeTwKkX
1622607007759966210|1548310862019973124|2023-02-0614:43:51.000000+0000|['PancakeSwap','FLOKIM','FLOKIMOONI','DOGE','SHIB']|0|0|0|0|@AltCryptoWhale@FlokiMooniisabouttotakeoff🔥\n\n✅Dapp&amp;NFTP2E\n❇️LPlockedwithproof\n❇️DOGErewardsforholders\n\n🚫NoPresale/Private/Whitelist\n🚫NoTeamwallets\n🔥50%Burn\n💧50%to#PancakeSwap\n\n#FLOKIM#FLOKIMOONI#DOGE#SHIB
1622606963837206530|1278871625530847232|2023-02-0614:43:41.000000+0000|['ethereum','crypto','blockchain','web3','bitcoin','bitcoin','defi','web3','sol','metaverse','bnb','nft','btc','crypto','eth']|0|0|0|0|TheChoppingBlockcrewdiscusses#ethereum#crypto#blockchain#web3#bitcoin\n#bitcoin#defi#web3#sol#metaverse#bnb#nft#btc#crypto#eth\nhttps://t.co/tp4WLrX9O2
1622605595546382340|1428059670552334342|2023-02-0614:38:15.000000+0000|['REP','REP','LSK','GMT','HIFI','CRE','TFUEL','AHT','ZIL','IQ','BAT','GLM','CBK','BORA','QTUM','FCT2','MVL','IOTA','ZRX','HUNT','META','GRS','DAWN','XTZ']|0|0|0|0|💣#REPand76Others,🟢26🔴51\n\n🇰🇷129.93억원\n🇺🇸$11,118,160\n🇯🇵¥1,221,200,389\n🇪🇺€9,410,176\n🇨🇳71,775,794元\n\n🎉UpflowvolumeNow,Upbit(Korea)\n#REP#LSK#GMT#HIFI#CRE#TFUEL#AHT#ZIL#IQ#BAT#GLM#CBK#BORA#QTUM#FCT2#MVL#IOTA#ZRX#HUNT#META#GRS#DAWN#XTZhttps://t.co/k8VV3ZbYKz
1622605217148682240|743736619|2023-02-0614:36:44.000000+0000|['altcoins','Bitcoin','btc','eth','SOL','avax','alts','CryptoNews','Cryptos','stockmarketcrash','imx']|0|0|0|0|Which#altcoinsdoyoustronglybelievein?\n\n#Bitcoin$btc#btc#eth$eth#SOL#avax$near$tsla$SPY$ndaq#alts#CryptoNews#Cryptos#stockmarketcrash$kda$imx#imx$ar$Ada$dothttps://t.co/7JUadFiQxi
1622605520103440384|1462574589993631747|2023-02-0614:37:57.000000+0000|['NFT','NFT','NFT','NFT','XRPL','xSTIK','XRP','XRPL','XRPLCommunity']|0|0|0|0|🚀@xrpstik#NFTproject\n\n✅Mostvaluable#NFTbrand\n✅#NFTstakingzone\n\n@xrpstikistheoneofthebest#NFTprojecton#XRPLandwithThebestartist@TheRealSumi69\n\n#xSTIK#XRP#XRPL#XRPLCommunityhttps://t.co/4uuZJ90TNU
